"nid","published","created","changed","URL","Name of Institution","NK Import ID","Index Herbariorum Record","Institutional Code/Acronym","Additional Institution Names","Institutional Discipline","URL for main institutional website","URL for institutional specimen catalog","URL for institutional webservices","Institutional LSID","Cool URI","Status of Institution: Active?","Institutional Governance","Institution Type","Description of Institution","Mailing Address 1","Mailing Address 2","Mailing Address 3","City/Town","State/Province","Postal/Zip Code","Country","Physical Address 1","Physical Address 2","Physical Address 3","City/Town","State/Province","Postal/Zip Code","Country","Latitude","Longitude","Primary Contact","CITES permit number","Date herbarium was founded","Geographic coverage of herbarium","Taxonomic coverage of herbarium","Number of specimens in herbarium"
"17534","Yes","21 May 2013 - 3:38pm EDT","13 July 2016 - 1:39pm EDT","http://usfsc.grscicoll.org/institution/doinps-lassen-volcanic-national-park","DOI/NPS, Lassen Volcanic National Park","B4755","No","LAVO",,,"www.nps.gov/lavo",,,,"http://grbio.org/cool/giz4-e9tj","Yes","Public, Federal: General",,"Secondary Contact:   Kirstie Haertel, Pacific West Region Archeology &amp; Museum Program Manager  kirstie_haertel@nps.gov  206-220-4136 (phone)","PO Box 100",,,"Mineral","CA","96063","USA",,,,,,,,,,"24642",,,,,
"17556","Yes","21 May 2013 - 3:38pm EDT","8 July 2016 - 11:56am EDT","http://usfsc.grscicoll.org/institution/doinps-great-smoky-mountains-national-park","DOI/NPS, Great Smoky Mountains National Park","B4780","No","GRSM",,,"www.nps.gov/grsm",,,,"http://grbio.org/cool/d016-ijfq","Yes","Public, Federal: General",,"Secondary Contact:  Mary Troy, Southeast Region Museum Services Chief  mary_troy@nps.gov  404-507-5802 (phone)  404-562-3202 (fax)","107 Park Headquarters Road",,,"Gatlinburg","TN","37738","USA",,,,,,,,,,"24642",,,,,
"17560","Yes","21 May 2013 - 3:38pm EDT","13 July 2016 - 11:17am EDT","http://usfsc.grscicoll.org/institution/doinps-glacier-national-park","DOI/NPS, Glacier National Park","B4785","No","GLAC",,,"www.nps.gov/glac",,,,"http://grbio.org/cool/21n0-avqj","Yes","Public, Federal: General",,,"PO Box 128",,,"West Glacier","MT","59936","USA",,,,,,,,,,"24642",,,,,
"17598","Yes","21 May 2013 - 3:38pm EDT","13 July 2016 - 11:07am EDT","http://usfsc.grscicoll.org/institution/doinps-colorado-national-monument","DOI/NPS, Colorado National Monument","B4825","No","COLM",,,"www.nps.gov/colm",,,,"http://grbio.org/cool/mnr8-2jz7","Yes","Public, Federal: General",,"Tef Rodeffer, Intermountain Museum Services Program Manager  tef_rodeffer@nps.gov  520-791-6401 (phone)  520-791-6465 (fax)  Tuscon, AZ 85745","1750 Rim Rock Drive",,,"Fruita","CO","81521","USA",,,,,,,,,,"24642",,,,,
"17611","Yes","21 May 2013 - 3:38pm EDT","7 July 2016 - 4:31pm EDT","http://usfsc.grscicoll.org/institution/doinps-carlsbad-caverns-national-park","DOI/NPS, Carlsbad Caverns National Park","B4839","No","CAVE",,,"www.nps.gov/cave",,,,"http://grbio.org/cool/wvdq-gi6n","Yes","Public, Federal: General",,"Secondary Contact:  Tef Rodeffer, Intermountain Museum Services Program Manager  tef_rodeffer@nps.gov  520-791-6401 (phone)  520-791-6465 (fax)  Tuscon, AZ 85745","3225 National Parks Highway",,,"Carlsbad","New Mexico","88220","USA",,,,,,,,,,"24642",,,,,
"17873","Yes","21 May 2013 - 3:38pm EDT","23 March 2018 - 11:29am EDT","http://usfsc.grscicoll.org/institution/us-geological-survey","U.S. Geological Survey","B6959","No","USGS",,"Agricultural Sciences & Natural Resources: General","http://www.usgs.gov/","https://www.sciencebase.gov/catalog/item/5728c7abe4b0b13d3918a960",,,"http://grbio.org/cool/3n47-ewde","Yes","Public, Federal: General","Other institutional type","Created by an act of Congress in 1879, USGS has evolved over the ensuing 125 years, matching its talent and knowledge to the progress of science and technology. USGS is the sole science agency for the Department of the Interior. It is sought out by thousands of partners and customers for its natural science expertise and its vast earth and biological data holdings. USGS Headquarters are located in Reston, Virginia. And, additional field and regional offices are distributed across the country, including Hawaii, Alaska, and Puerto Rico.","12201 Sunrise Valley Drive",,,"Reston","VA","20192","USA",,,,,,,,,,"25442",,,,,
"24116","Yes","13 March 2015 - 4:25pm EDT","11 August 2016 - 12:00pm EDT","http://usfsc.grscicoll.org/institution/usdaars-pollinating-insects-biology-management-and-systematics-research","USDA/ARS, Pollinating Insects, Biology, Management and Systematics Research",,"No","BBSL","Bee Biology and Systematics Laboratory",,"http://www.ars.usda.gov/main/site_main.htm?modecode=20-80-05-00#",,,,"http://grbio.org/cool/q49p-qw3v","Yes","Public, Federal: General","Museum",,"UTAH STATE UNIVERSITY, DEPT. BIOLOGY, UMC5310",,,"Logan","Utah","84322","USA",,,,,,,"USA",,,"24113",,,,,
"24194","Yes","31 March 2015 - 10:52am EDT","16 July 2015 - 2:34pm EDT","http://usfsc.grscicoll.org/institution/national-aeronautics-and-space-administration-johnson-space-center","National Aeronautics and Space Administration, Johnson Space Center",,"No","NASA-JSC",,,"http://www.nasa.gov/centers/johnson/home/",,,,"http://usfsc.grscicoll.org/cool/gcrm-ig05","Yes","Public, Federal: General",,"NASA Field Center","2101 NASA Parkway",,,"Houston","Texas","77058","USA",,,,,,,,,,"24193",,,,,
"24210","Yes","31 March 2015 - 1:58pm EDT","23 October 2015 - 11:51am EDT","http://usfsc.grscicoll.org/institution/department-veterans-affairs","Department of Veterans Affairs",,"No","VA",,,"http://www.va.gov/",,,,"http://usfsc.grscicoll.org/cool/b8ih-256k","Yes","Public, Federal: General","Biomedical research institute, including hospitals and medical colleges","The Veterans Health Administration is a large healthcare system encompassing over 150 medical centers across the country. As a part of VHA, the Office of Research &amp; Development strives to improve the healthcare of Veterans.   ****Please contact people specific to each institutional collection where it may reside.  For example, the Veteran Affairs Biorepository Brain Bank for ALS is located in Tucson, Arizona****","810 Vermont Avenue, N.W.",,,"Washington","D.C.","20420","USA",,,,,,,,,,"24209",,,,,
"24219","Yes","31 March 2015 - 3:23pm EDT","20 October 2016 - 10:33am EDT","http://usfsc.grscicoll.org/institution/hhscdc-national-center-health-statistics","HHS/CDC, National Center for Health Statistics",,"No","CDC-NCHS",,"Biological Sciences: General","http://www.cdc.gov/","http://www.cdc.gov/nchs/nhanes/proposal_guidelines.htm","http://www.cdc.gov/nchs/",,"http://usfsc.grscicoll.org/cool/q62d-p7ix","Yes","Public, Federal: General",,"NCHS refers to the National Health and Nutrition Exanination Surveys (NHANES). Serum samples are avaible from participants from this population based surveys from years 1999-2012.","3311 Toledo Road",,,"Hyattsville","Maryland","20782","USA",,,,,,,,,,"24218",,,,,
"24234","Yes","3 April 2015 - 12:42pm EDT","18 October 2016 - 3:22pm EDT","http://usfsc.grscicoll.org/institution/doiusgs-woods-hole-coastal-and-marine-science-center-samples-repository","DOI/USGS, Woods Hole Coastal and Marine Science Center Samples Repository",,"No","WHCMSC",,,"http://woodshole.er.usgs.gov/operations/ia/samprepo/","http://woodshole.er.usgs.gov/operations/ia/samprepo/searchcat.html",,,"http://grscicoll.org/cool/r5eh-xncn","Yes","Public, Federal: General",,"The USGS Woods Hole Coastal and Marine Science Center Samples Repository houses geological, geochemical, and biological collections. This repository operates on the Woods Hole Oceanographic Institution&#39;s Quissett Campus in Woods Hole, Massachusetts.","U.S. Geological Survey","Woods Hole Coastal and Marine Science Center","384 Woods Hole Road","Woods Hole","Massachusetts","02543-1598","USA",,,,,,,,,,"24233",,,,,
"24306","Yes","20 May 2015 - 3:42pm EDT","8 November 2016 - 2:36pm EST","http://usfsc.grscicoll.org/institution/doiblm-anasazi-heritage-center","DOI/BLM, Anasazi Heritage Center",,"No","BLMAHC","BLM-Canyons of the Ancients National Monument",,"http://www.blm.gov/co/st/en/fo/ahc/collections_and_research.html",,"http://www.blm.gov/co/st/en/nm/canm.html",,"http://usfsc.grscicoll.org/cool/8akd-f8fw","Yes","Public, Federal: General","Museum","The Anasazi Heritage Center is a museum of the Ancestral Puebloan (or Anasazi) Culture and other Native cultures in the Four Corners region.  It is also the starting point for visits to Canyons of the Ancients National Monument.  Access to Collections and Archives Curated at the BLM-Anasazi Heritage Center  The BLM-Anasazi Heritage Center (AHC) collections and data management program focus on the preservation of, access to, and use of archaeological collections and archives.  These programs also support and enhance the AHC&#39;s exhibit/interpretation program.  All programs promote:  &middot;         an understanding of the cultural landscape of the Four Corners in a broad context;  &middot;         an understanding of the varied human populations through time and in their interaction with each other and with the resources of the land ;  &middot;         inclusive, conscientious and respectful decision making;  &middot;         an awareness of our role in supporting the continuity of the cultural diversity in the region;  &middot;         an understanding and appreciation of the diverse patterns of living in our cultural landscape; and  &middot;         the ongoing support and good will of the community.  Collections/Archives Access for non-NAGPRA collections              Access to all non-NAGPRA collections curated at the AHC must be made by request through AHC Curation staff, using the program&rsquo;s &ldquo;Use of Collections Request Form. Please contact AHC Curation staff at 970-882-5600 to request a form.              Requests must be as specific as possible in describing the types of collections requested, purpose of the research to be conducted, must include a research proposal, and include professional references and institutional affiliation.  The requests will be assessed by Curation staff to determine if the request can be met with the collections curated at the AHC, to determine appropriateness of the request, and if destructive analysis is proposed, the request must be approved by the Research Committee of CANM/AHC.              Once collections access is assessed and approved AHC Curation staff will arrange a specific time when the collections can be made available.  As much advance notice as possible is respectfully requested.  Thirty days lead time is preferred from the time the request is made, until access to collections is provided.   Collections/Archives Access for NAGPRA collections              Due to the sensitive nature and legal requirements of collections that fall under the Native American Graves Protection and Repatriation Act (43 CFR Part 10), any requests for access to information, documentation or collections that include NAGPRA material must first receive approval from AHC Research Committee and agency or bureau that owns, and therefore has legal control of the requested collections and information before access can be granted.","27501 Highway 184",,,"Dolores","CO","81323","USA",,,,,,,,,,"24305",,,,,
"24348","Yes","23 June 2015 - 1:23pm EDT","23 June 2015 - 2:40pm EDT","http://usfsc.grscicoll.org/institution/smithsonian-institution-national-zoological-park","Smithsonian Institution, National Zoological Park",,"No","SNZP-SCBI",,"Biological Sciences: General","https://nationalzoo.si.edu/",,"http://nationalzoo.si.edu/SCBI/",,"http://grbio.org/cool/cy9g-xfn5","Yes","Public, Federal: General","Zoo or aquarium","The Smithsonian National Zoological Park and Conservation Biology Institute (SNZP-SCBI) is home to approximately 2,000 animals representing nearly 400 species, of which about a quarter are endangered. SNZP-SCBI provides leadership in animal care, science, education, and sustainability through its six centers focusing on conservation biology: Center for Conservation Education and Sustainability, Smithsonian Migratory Bird Center, Center for Conservation Ecology, Center for Species Survival, Center for Conservation and Evolutionary Genetics, Center for Animal Care Sciences.  SNZP-SCBI holds over 570,000 biological samples collected from species in its living collection as well as samples collected from in situ populations world-wide.","Registrar’s Office","Smithsonian National Zoological Park","PO Box 37012  MRC  5507","Washington","DC","20013-7012","USA",,,,,,,,,,"24347",,,,,
"24366","Yes","15 July 2015 - 3:29pm EDT","28 July 2015 - 12:02pm EDT","http://usfsc.grscicoll.org/institution/us-environmental-protection-agency","U.S. Environmental Protection Agency",,"No","USEPA",,"Health Biomedical Sciences: Environmental Health","http://www.epa.gov",,,,"http://usfsc.grscicoll.org/cool/ke9r-e760","Yes","Public, Federal: General","Other institutional type","The mission of the US Environmental Protection Agency is to protect human health and the environment","US Environmental Protection Agency",,"1200 Pennsylvania Avenue, N.W.","Washington","DC","20460","USA",,,,,,,,,,"24365",,,,,
"24405","Yes","24 September 2015 - 1:47pm EDT","25 September 2015 - 3:53pm EDT","http://usfsc.grscicoll.org/institution/doiblm-billings-curation-center","DOI/BLM, Billings Curation Center",,"No","BLMBCC",,,"http://www.blm.gov/mt/st/en/prog/bcc.html",,,,"http://usfsc.grscicoll.org/cool/rznd-drit","Yes","Public, Federal: General","Other type of research institution/biorepository","The Billings Curation Center is the main repository for archeological and ethnographic collections recovered from the BLM-administered public lands in Montana and the Dakotas.  Montana archaeology spans more than 11,000 years and is represented by numerous bison kills, tipi rings, rock art, cairn monuments, and battle sites.  Each yields a variety of cultural materials and information about the past.  Items in the collections represent a variety of artifacts and time periods:    	  		Early Paleo-Indian Goshen  	  		Late Prehistoric side-notched points  	  		Bison bones  	  		Complete bone tools  	  		Early pottery  	  		Rock art  	  		European trade beads  	  		Homesteaders&#39; material    The Billings Curation Center invites professional researchers, archaeologists, and university students to utilize the available resources.  The mission of the Billings Curation Center, within the Branch of Land Resources, Montana State Office is: To catalog, curate, preserve and protect the cultural materials, historic and prehistoric, originating from Bureau of Land Management properties in Montana and the Dakotas, in accordance to the standards established in the National Park Service&#39;s Museum Property Handbook (411 DM). To encourage the scholarly use of the collections held at the Billings Curation Center, by way of educational programs and exhibits, student internships, and promoting their availability to researchers.","BLM Montana State Office","5001 Southgate Drive",,"Billings","MT","59101","USA",,,,,,,,,,"24404",,,,,
"24513","Yes","26 February 2016 - 12:54pm EST","12 July 2016 - 9:41am EDT","http://usfsc.grscicoll.org/institution/doinps-john-day-fossil-beds-national-monument","DOI/NPS, John Day Fossil Beds National Monument",,"No","JODA",,,"http://www.nps.gov/joda","http://museum.nps.gov/ParkPagedet.aspx?rID=JODA%20%20%20%20%20%20%201%26db%3Dobjects%26dir%3DPARKS",,,"http://grscicoll.org/cool/3ng6-9n9c","Yes","Public, Federal: General",,"Secondary Contact:   Kirstie Haertel, Pacific West Region Archeology &amp; Museum Program Manager  kirstie_haertel@nps.gov  206-220-4136 (phone)","32651 Highway 19",,,"Kimberly","OR","97848","USA",,,,,,,,,,"24642",,,,,
"24623","Yes","23 May 2016 - 9:40am EDT","3 August 2016 - 4:28pm EDT","http://usfsc.grscicoll.org/institution/us-department-transportation","US Department of Transportation",,"No","USDOT",,,"https://www.transportation.gov",,,,"http://usfsc.grscicoll.org/cool/amj8-qiqr","Yes","Public, Federal: General","Other institutional type","US federal government agency.  Mission statement:  &quot;Serve the United States by ensuring a fast, efficient, accessible and convenient transportation system that meets our vital national interests and enhances the quality of life of the American people, today and into the future.&quot;","1200 New Jersey Avenue, SE",,,"Washington","DC","20590-0001","USA",,,,,,,,,,"24608",,,,,
"24653","Yes","23 June 2016 - 4:22pm EDT","7 July 2016 - 4:22pm EDT","http://usfsc.grscicoll.org/institution/doinps-alagnak-wild-river","DOI/NPS, Alagnak Wild River",,"No","ALAG",,,"www.nps.gov/alag",,,,"http://usfsc.grscicoll.org/cool/6c53-1tyb","Yes","Public, Federal: General",,"Secondary Contact:   Stephanie Stephens, National Park Service Chief Curator  stephanie_stephens@nps.gov  202-354-2102 (phone)  202-371-6757 (fax)","PO Box 245",,,"King Salmon","AK","99613","USA",,,,,,,,,,"24642",,,,,
"24654","Yes","23 June 2016 - 4:26pm EDT","7 July 2016 - 4:22pm EDT","http://usfsc.grscicoll.org/institution/doinps-aniakchak-national-monument-and-preserve","DOI/NPS, Aniakchak National Monument and Preserve",,"No","ANIA",,,"www.nps.gov/ania",,,,"http://usfsc.grscicoll.org/cool/kc1i-v0a8","Yes","Public, Federal: General",,"Secondary Contact:   Stephanie Stephens, National Park Service Chief Curator  stephanie_stephens@nps.gov  202-354-2102 (phone)  202-371-6757 (fax)","PO Box 245",,,"King Salmon","AK","99613","USA",,,,,,,,,,"24642",,,,,
"24655","Yes","23 June 2016 - 4:38pm EDT","7 July 2016 - 4:23pm EDT","http://usfsc.grscicoll.org/institution/doinps-bering-land-bridge-national-preserve","DOI/NPS, Bering Land Bridge National Preserve",,"No","BELA",,,"www.nps.gov/bela",,,,"http://usfsc.grscicoll.org/cool/33kv-jye7","Yes","Public, Federal: General",,"Secondary Contact:   Stephanie Stephens, National Park Service Chief Curator  stephanie_stephens@nps.gov  202-354-2102 (phone)  202-371-6757 (fax)","PO Box 220",,,"Nome","AK","99762","USA",,,,,,,,,,"24642",,,,,
"24656","Yes","23 June 2016 - 4:41pm EDT","7 July 2016 - 4:23pm EDT","http://usfsc.grscicoll.org/institution/doinps-cape-krusenstern-national-monument","DOI/NPS, Cape Krusenstern National Monument",,"No","CAKR",,,"www.nps.gov/cakr",,,,"http://usfsc.grscicoll.org/cool/d4j6-vc6n","Yes","Public, Federal: General",,"Secondary Contact:   Stephanie Stephens, National Park Service Chief Curator  stephanie_stephens@nps.gov  202-354-2102 (phone)  202-371-6757 (fax)","PO Box 1029",,,"Kotzebue","AK","99752","USA",,,,,,,,,,"24642",,,,,
"24657","Yes","23 June 2016 - 4:43pm EDT","7 July 2016 - 4:23pm EDT","http://usfsc.grscicoll.org/institution/doinps-denali-national-park-and-preserve","DOI/NPS, Denali National Park and Preserve",,"No","DENA",,,"www.nps.gov/dena",,,,"http://usfsc.grscicoll.org/cool/bn2y-09mn","Yes","Public, Federal: General",,"Secondary Contact:   Stephanie Stephens, National Park Service Chief Curator  stephanie_stephens@nps.gov  202-354-2102 (phone)  202-371-6757 (fax)","PO Box 9",,,"Denali Park","AK","99755","USA",,,,,,,,,,"24642",,,,,
"24658","Yes","23 June 2016 - 4:45pm EDT","7 July 2016 - 4:24pm EDT","http://usfsc.grscicoll.org/institution/doinps-gates-arctic-national-park-and-preserve","DOI/NPS, Gates of the Arctic National Park and Preserve",,"No","GAAR",,,"www.nps.gov/gaar",,,,"http://usfsc.grscicoll.org/cool/cbec-aygt","Yes","Public, Federal: General",,"Secondary Contact:   Stephanie Stephens, National Park Service Chief Curator  stephanie_stephens@nps.gov  202-354-2102 (phone)  202-371-6757 (fax)","PO Box 30",,,"Bettles","AK","99726","USA",,,,,,,,,,"24642",,,,,
"24659","Yes","23 June 2016 - 4:47pm EDT","7 July 2016 - 4:24pm EDT","http://usfsc.grscicoll.org/institution/doinps-glacier-bay-national-park-and-preserve","DOI/NPS, Glacier Bay National Park and Preserve",,"No","GLBA",,,"www.nps.gov/glba",,,,"http://usfsc.grscicoll.org/cool/rz7y-jcgf","Yes","Public, Federal: General",,"Secondary Contact:   Stephanie Stephens, National Park Service Chief Curator  stephanie_stephens@nps.gov  202-354-2102 (phone)  202-371-6757 (fax)","PO Box 140",,,"Gustavus","AK","99826","USA",,,,,,,,,,"24642",,,,,
"24660","Yes","23 June 2016 - 4:51pm EDT","7 July 2016 - 4:24pm EDT","http://usfsc.grscicoll.org/institution/doinps-katmai-national-park-and-preserve","DOI/NPS, Katmai National Park and Preserve",,"No","KATM",,,"www.nps.gov/katm",,,,"http://usfsc.grscicoll.org/cool/htwx-eyyx","Yes","Public, Federal: General",,"Secondary Contact:   Stephanie Stephens, National Park Service Chief Curator  stephanie_stephens@nps.gov  202-354-2102 (phone)  202-371-6757 (fax)","PO Box 7","1000 Silver Street","Building 603","King Salmon","AK","99613","USA",,,,,,,,,,"24642",,,,,
"24661","Yes","23 June 2016 - 4:54pm EDT","7 July 2016 - 4:25pm EDT","http://usfsc.grscicoll.org/institution/doinps-kenai-fjords-national-park","DOI/NPS, Kenai Fjords National Park",,"No","KEFJ",,,"www.nps.gov/kefj",,,,"http://usfsc.grscicoll.org/cool/1ay2-64tn","Yes","Public, Federal: General",,"Secondary Contact:   Stephanie Stephens, National Park Service Chief Curator  stephanie_stephens@nps.gov  202-354-2102 (phone)  202-371-6757 (fax)","PO Box 1727",,,"Seward","AK","99664","USA",,,,,,,,,,"24642",,,,,
"24662","Yes","23 June 2016 - 4:56pm EDT","7 July 2016 - 4:26pm EDT","http://usfsc.grscicoll.org/institution/doinps-klondike-gold-rush-national-historical-park","DOI/NPS, Klondike Gold Rush National Historical Park",,"No","KLGO",,,"www.nps.gov/klgo",,,,"http://usfsc.grscicoll.org/cool/by0n-snkw","Yes","Public, Federal: General",,"Secondary Contact:   Stephanie Stephens, National Park Service Chief Curator  stephanie_stephens@nps.gov  202-354-2102 (phone)  202-371-6757 (fax)","PO Box 517",,,"Skagway","AK","99840","USA",,,,,,,,,,"24642",,,,,
"24664","Yes","24 June 2016 - 8:01am EDT","7 July 2016 - 4:26pm EDT","http://usfsc.grscicoll.org/institution/doinps-kobuk-valley-national-park","DOI/NPS, Kobuk Valley National Park",,"No","KOVA",,,"www.nps.gov/kova",,,,"http://usfsc.grscicoll.org/cool/f4ng-29yg","Yes","Public, Federal: General",,"Secondary Contact:   Stephanie Stephens, National Park Service Chief Curator  stephanie_stephens@nps.gov  202-354-2102 (phone)  202-371-6757 (fax)","PO Box 1029",,,"Kotzebue","AK","99752","USA",,,,,,,,,,"24642",,,,,
"24665","Yes","24 June 2016 - 8:04am EDT","7 July 2016 - 4:26pm EDT","http://usfsc.grscicoll.org/institution/doinps-lake-clark-national-park-and-preserve","DOI/NPS, Lake Clark National Park and Preserve",,"No","LACL",,,"www.nps.gov/lacl",,,,"http://usfsc.grscicoll.org/cool/a1zz-s692","Yes","Public, Federal: General",,"Secondary Contact:   Stephanie Stephens, National Park Service Chief Curator  stephanie_stephens@nps.gov  202-354-2102 (phone)  202-371-6757 (fax)","Lake Clark National Park and Preserve","General Delivery",,"Port Alsworth","AK","99653","USA",,,,,,,,,,"24642",,,,,
"24666","Yes","24 June 2016 - 8:06am EDT","7 July 2016 - 4:27pm EDT","http://usfsc.grscicoll.org/institution/doinps-noatak-national-preserve","DOI/NPS, Noatak National Preserve",,"No","NOAT",,,"www.nps.gov/noat",,,,"http://usfsc.grscicoll.org/cool/hvdb-600i","Yes","Public, Federal: General",,"Secondary Contact:   Stephanie Stephens, National Park Service Chief Curator  stephanie_stephens@nps.gov  202-354-2102 (phone)  202-371-6757 (fax)","PO Box 1029",,,"Kotzebue","AK","99752","USA",,,,,,,,,,"24642",,,,,
"24667","Yes","24 June 2016 - 8:26am EDT","7 July 2016 - 4:27pm EDT","http://usfsc.grscicoll.org/institution/doinps-sitka-national-historical-park","DOI/NPS, Sitka National Historical Park",,"No","SITK",,,"www.nps.gov/sitk",,,,"http://usfsc.grscicoll.org/cool/yps2-wjqd","Yes","Public, Federal: General",,"Secondary Contact:   Stephanie Stephens, National Park Service Chief Curator  stephanie_stephens@nps.gov  202-354-2102 (phone)  202-371-6757 (fax)","103 Monastery Street",,,"Sitka","AK","99835","USA",,,,,,,,,,"24642",,,,,
"24668","Yes","24 June 2016 - 8:30am EDT","7 July 2016 - 4:27pm EDT","http://usfsc.grscicoll.org/institution/doinps-wrangell-st-elias-national-monument","DOI/NPS, Wrangell-St. Elias National Monument",,"No","WRST",,,"www.nps.gov/wrst",,,,"http://usfsc.grscicoll.org/cool/sg8q-8vqh","Yes","Public, Federal: General",,"Secondary Contact:   Stephanie Stephens, National Park Service Chief Curator  stephanie_stephens@nps.gov  202-354-2102 (phone)  202-371-6757 (fax)","PO Box 439","Mile 106.8 Richardson Highway",,"Copper Center","AK","99573","USA",,,,,,,,,,"24642",,,,,
"24669","Yes","24 June 2016 - 8:32am EDT","7 July 2016 - 4:27pm EDT","http://usfsc.grscicoll.org/institution/doinps-yukon-charley-national-preserve","DOI/NPS, Yukon-Charley National Preserve",,"No","YUCH",,,"www.nps.gov/yuch",,,,"http://usfsc.grscicoll.org/cool/999m-g0n3","Yes","Public, Federal: General",,"Secondary Contact:   Stephanie Stephens, National Park Service Chief Curator  stephanie_stephens@nps.gov  202-354-2102 (phone)  202-371-6757 (fax)","PO Box 167",,,"Eagle","AK","99738","USA",,,,,,,,,,"24642",,,,,
"24670","Yes","24 June 2016 - 9:12am EDT","7 July 2016 - 4:25pm EDT","http://usfsc.grscicoll.org/institution/doinps-alibates-flint-quarries-national-monument","DOI/NPS, Alibates Flint Quarries National Monument",,"No","ALFL",,,"www.nps.gov/alfl",,,,"http://usfsc.grscicoll.org/cool/zhsd-vits","Yes","Public, Federal: General",,"Secondary Contact:  Tef Rodeffer, Intermountain Museum Services Program Manager  tef_rodeffer@nps.gov  520-791-6401 (phone)  520-791-6465 (fax)  Tuscon, AZ 85745","PO Box 1460",,,"Fritch","TX","79036","USA",,,,,,,,,,"24642",,,,,
"24671","Yes","24 June 2016 - 9:14am EDT","7 July 2016 - 4:28pm EDT","http://usfsc.grscicoll.org/institution/doinps-amistad-national-recreation-area","DOI/NPS, Amistad National Recreation Area",,"No","AMIS",,,"www.nps.gov/amis",,,,"http://usfsc.grscicoll.org/cool/n2mj-k0zr","Yes","Public, Federal: General",,"Secondary Contact:  Tef Rodeffer, Intermountain Museum Services Program Manager  tef_rodeffer@nps.gov  520-791-6401 (phone)  520-791-6465 (fax)  Tuscon, AZ 85745","4121 Veterans Blvd",,,"Del Rio","TX","78840","USA",,,,,,,,,,"24642",,,,,
"24672","Yes","24 June 2016 - 9:16am EDT","7 July 2016 - 4:33pm EDT","http://usfsc.grscicoll.org/institution/doinps-arches-national-park","DOI/NPS, Arches National Park",,"No","ARCH",,,"www.nps.gov/arch",,,,"http://usfsc.grscicoll.org/cool/emrx-g92w","Yes","Public, Federal: General",,"Secondary Contact:  Tef Rodeffer, Intermountain Museum Services Program Manager  tef_rodeffer@nps.gov  520-791-6401 (phone)  520-791-6465 (fax)  Tuscon, AZ 85745","PO Box 907",,,"Moab","UT","84532","USA",,,,,,,,,,"24642",,,,,
"24673","Yes","24 June 2016 - 9:20am EDT","7 July 2016 - 4:28pm EDT","http://usfsc.grscicoll.org/institution/doinps-aztec-ruins-national-monument","DOI/NPS, Aztec Ruins National Monument",,"No","AZRU",,,"www.nps.gov/azru",,,,"http://usfsc.grscicoll.org/cool/aqfg-e6ef","Yes","Public, Federal: General",,"Secondary Contact:  Tef Rodeffer, Intermountain Museum Services Program Manager  tef_rodeffer@nps.gov  520-791-6401 (phone)  520-791-6465 (fax)  Tuscon, AZ 85745","725 Ruins Road",,,"Aztec","NM","87410","USA",,,,,,,,,,"24642",,,,,
"24674","Yes","24 June 2016 - 9:26am EDT","7 July 2016 - 4:28pm EDT","http://usfsc.grscicoll.org/institution/doinps-bandelier-national-monument","DOI/NPS, Bandelier National Monument",,"No","BAND",,,"www.nps.gov/band",,,,"http://usfsc.grscicoll.org/cool/kjxf-tv30","Yes","Public, Federal: General",,"Secondary Contact:  Tef Rodeffer, Intermountain Museum Services Program Manager  tef_rodeffer@nps.gov  520-791-6401 (phone)  520-791-6465 (fax)  Tuscon, AZ 85745","Bandelier National Monument","15 Entrance Road",,"Los Alamos","NM","87544","USA",,,,,,,,,,"24642",,,,,
"24675","Yes","24 June 2016 - 9:28am EDT","7 July 2016 - 4:29pm EDT","http://usfsc.grscicoll.org/institution/doinps-bents-old-fort-national-historic-site","DOI/NPS, Bent's Old Fort National Historic Site",,"No","BEOL",,,"www.nps.gov/beol",,,,"http://usfsc.grscicoll.org/cool/qtnz-xnc6","Yes","Public, Federal: General",,"Secondary Contact:  Tef Rodeffer, Intermountain Museum Services Program Manager  tef_rodeffer@nps.gov  520-791-6401 (phone)  520-791-6465 (fax)  Tuscon, AZ 85745","35110 Highway 194 E.",,,"La Junta","CO","81050","USA",,,,,,,,,,"24642",,,,,
"24676","Yes","24 June 2016 - 9:50am EDT","7 July 2016 - 4:29pm EDT","http://usfsc.grscicoll.org/institution/doinps-big-bend-national-park","DOI/NPS, Big Bend National Park",,"No","BIBE",,,"www.nps.gov/bibe",,,,"http://usfsc.grscicoll.org/cool/9zbi-bh3x","Yes","Public, Federal: General",,"Secondary Contact:  Tef Rodeffer, Intermountain Museum Services Program Manager  tef_rodeffer@nps.gov  520-791-6401 (phone)  520-791-6465 (fax)  Tuscon, AZ 85745","PO Box 129",,,"Big Bend National Park","TX","79834","USA",,,,,,,,,,"24642",,,,,
