"nid","published","created","changed","URL","Collection Name","NK Import ID","Institution Name","Institutional Code/Acronym","Collection Code","URL for collection","URL for collection's specimen catalog/database","URL for collection's webservices","Collection Description","Collection Content Type","Preservation Type","Accession Status (Yes=Institutional, No=Project)","Mailing Address 1","Mailing Address 2","Mailing Address 3","City/Town","State/Province","Postal/Zip Code","Country","Physical Address 1","Physical Address 2","Physical Address 3","City/Town","State/Province","Postal/Zip Code","Country","Primary Contact","Status of Collection: Active?","LSID"
"25059","Yes","27 July 2016 - 12:03pm EDT","22 August 2016 - 12:37pm EDT","http://usfsc.grscicoll.org/institutional-collection/barc-collection-insect-pathogenic-viruses","BARC Collection of Insect-Pathogenic Viruses",,"25012",,"BCIPV",,,,"A collection of viruses from insects, accumulated by researchers in Beltsville and elsewhere since the 1950s, consisting of more than 2600 samples representing 142 different insect hosts and/or virus species.","Biological: Other or Undefined","Sample Treatment: Dried","Yes","USDA/ARS, Invasive Insect Biocontrol and Behavior Laboratory","Bldg. 007, Room 301, BARC-West","10300 Baltimore Avenue","Beltsville","Maryland","20705","USA",,,,,,,,"25058","Yes",
"25062","Yes","28 July 2016 - 10:02am EDT","26 September 2016 - 2:21pm EDT","http://usfsc.grscicoll.org/institutional-collection/us-national-fungal-collections","U.S National Fungal Collections",,"25060",,"BPI","https://nt.ars-grin.gov/fungaldatabases/","https://nt.ars-grin.gov/fungaldatabases/specimens/specimens.cfm",,"The U.S. National Fungal Collection is the &ldquo;Smithsonian for fungi&rdquo; and includes about one million reference specimens used by scientists throughout the world. It is one of the world&rsquo;s largest collections of non-living fungi, documenting fungi through time and space for the past 200 years. The acronym BPI stands for Bureau of Plant Industry, which was the historical name of the collection.","Biological: Preserved organisms, their parts & products",,"Yes","USDA/ARS, Systematic Botany and Mycology Laboratory, BARC","USDA, Agricultural Research Service","Building 010A, Room 230","Beltsville","Maryland","20705","USA",,,,,,,,"18817","Yes",
"25070","Yes","29 July 2016 - 11:16am EDT","8 August 2016 - 5:20pm EDT","http://usfsc.grscicoll.org/institutional-collection/antimicrobial-resistance-collection","Antimicrobial Resistance Collection",,"25067",,"USDAARC",,,,"The Bacterial Epidemiology and Antimicrobial Resistance Research Unit maintains a unique collection of over 93,000 antimicrobial resistant strains of food safety pathogens and commensals.  Begun in 1996, the collection contains approximately 50,000 isolates of Salmonella, 15,000 of E. coli, 12,000 of Campylobacter, 15,000 of Enterococcus, and 1,000 of Listeria.  ARS food safety researchers use resources from this collection to develop strategies for reducing and controlling bacterial pathogens in food products.  The collection is also an integral component of the animal section of the National Antimicrobial Resistance Monitoring System, a multi-agency national program for surveillance of antimicrobial resistance in bacteria in the United States.","Biological: Living organisms",,"No","USDA/ARS, Bacterial Epidemiology and Antimicrobial Resistance Research Unit",,"950 College Station Road","Athens","Georgia","30605","USA",,,,,,,,"25066","Yes",
"25078","Yes","29 July 2016 - 4:40pm EDT","8 August 2016 - 5:16pm EDT","http://usfsc.grscicoll.org/institutional-collection/florida-meloidogyne-collection","Florida Meloidogyne Collection",,"25072",,"FMC",,,,"ARS has a collection of living root-knot nematodes at the U.S. Horticultural Research Laboratory.  This recently-organized collection of plant-parasitic nematodes is used to study chemical and biological methods of controlling these pests.  The collection is used primarily by ARS scientists and occasionally by outside researchers.","Biological: Living organisms","Storage Environment: Ambient controlled (indoors)","No","USDA/ARS, Subtropical Plant Pathology Research Unit","U.S. Horticultural Research Laboratory","2001 South Rock Road","Fort Pierce","Florida","34945","USA",,,,,,,,"25073","Yes",
"25086","Yes","1 August 2016 - 12:20pm EDT","8 August 2016 - 5:17pm EDT","http://usfsc.grscicoll.org/institutional-collection/microsporidia-and-gregarines-stored-products-pests-collection","Microsporidia and Gregarines in Stored Products Pests Collection",,"25084",,"MGSPC",,,,"The Grain Marketing and Production Research Center&rsquo;s Biological Research Unit maintains a collection of two species of beetle-associated microsporidia and four species of gregarines (protozoa); scientists at this location study the use of these microbes as biocontrol agents.","Biological: Living cell or tissue cultures","Storage Environment: Ambient controlled (indoors)","Yes","USDA/ARS, Stored Product Insect and Engineering Research Unit","Center for Grain and Animal Health Research","1515 College Ave.","Manhattan","Kansas","66502","USA",,,,,,,,"25083","Yes",
"25091","Yes","1 August 2016 - 3:52pm EDT","10 August 2016 - 1:23pm EDT","http://usfsc.grscicoll.org/institutional-collection/willamette-herbarium","Willamette Herbarium",,"25079",,"WILLA",,,,"Herbarium collection began by Warren Pavlat in the 1970s.","Biological: Preserved organisms, their parts & products","Sample Treatment: Dried","Yes","3106 Pierce Parkway, Suite B",,,"Springfield","Oregon","97477","USA",,,,,,,,"25068","Yes",
"25092","Yes","1 August 2016 - 3:57pm EDT","22 August 2016 - 3:40pm EDT","http://usfsc.grscicoll.org/institutional-collection/microsporidia-mosquitoes-and-fire-ants-collection","Microsporidia in Mosquitoes and Fire Ants Collection",,"25089",,"MMFAC",,,,"ARS researchers at the Center for Medical, Agricultural and Veterinary Entomology (CMAVE) maintain a collection of five species of microsporidia, focusing on their use as biocontrol agents for mosquitoes, fire ants, and other pests.  Researchers at this location also study their role in causing detrimental diseases to beneficial insects.","Biological: Living cell or tissue cultures",,"No","USDA/ARS, Imported Fire Ant and Household Insects Research Unit","Medical, Agric. & Vetry Entol","1600 S.W. 23rd Drive","Gainesville","Florida","32608","USA",,,,,,,,"25088","Yes",
"25093","Yes","1 August 2016 - 3:59pm EDT","2 August 2016 - 9:12am EDT","http://usfsc.grscicoll.org/institutional-collection/mount-hood-herbarium","Mount Hood Herbarium",,"25085",,"HOOD",,,,"Bryophytes, lichens, fungi, vascular plants from the forest and surrounding areas.","Biological: Preserved organisms, their parts & products","Storage Environment: Ambient controlled (indoors)","Yes","16400 Champion Way",,,"Sandy","Oregon","97055","USA",,,,,,,,"25074","Yes",
"25096","Yes","2 August 2016 - 12:33pm EDT","11 August 2016 - 3:06pm EDT","http://usfsc.grscicoll.org/institutional-collection/orthopteran-microsporidia-collection","Orthopteran Microsporidia Collection",,"25014",,"OMC",,,,"The Pest Management Unit maintains a collection of approximately 350 Orthopteran (grasshopper) microsporidia to assist in research to manage grasshoppers as agricultural pests.  In the past, ARS scientists used this collection to develop the first microbial control agent registered for use in the United States.  This collection is probably the largest collection of microsporidia in the world.  Although the unit does not actively seek deposits or distribute collected items freely, items can be provided upon special arrangement.","Biological: Living cell or tissue cultures",,"No","USDA/ARS, Pest Management Research Unit","Northern Plains Agricultural Research Laboratory","1500 North Central Avenue","Sidney","Montana","59270","USA",,,,,,,,"25095","No",
"25099","Yes","2 August 2016 - 1:30pm EDT","22 August 2016 - 12:37pm EDT","http://usfsc.grscicoll.org/institutional-collection/biological-control-insects-unit-virus-collection","Biological Control of Insects Unit Virus Collection",,"25098",,"BCIUVC",,,,"A collection of 20 different virus species.  The majority of these viruses are used to infect and control lepidopteran (butterflies and moths) pests of agricultural importance.","Biological: Other or Undefined",,"Yes","USDA/ARS, Biological Control of Insects Research Laboratory","Biological Control of Insects","1503 S. Providence, Research Park","Columbia","Missouri","65211","USA",,,,,,,,"25097","Yes",
"25101","Yes","2 August 2016 - 3:12pm EDT","14 February 2017 - 1:31pm EST","http://usfsc.grscicoll.org/institutional-collection/madison-madw-collection","Madison (MADw) Collection",,"25090",,"MADW","http://www.fpl.fs.fed.us/research/centers/woodanatomy/madw_collection.php","http://www.fpl.fs.fed.us/search/madw_request.php",,"Xylarium, inlcuding SJRw in Index Xylariorum, and an associated research slide collection","Biological: Plant-derived (bark, pollen, phytoliths, etc.)","Sample Treatment: Dried","Yes","Forest Products Laboratory, Center for Wood Anatomy Research","One Gifford Pinchot Drive",,"Madison","Wisconsin","53726-2398","USA",,,,,,,,"25075","Yes",
"25102","Yes","2 August 2016 - 3:24pm EDT","10 August 2016 - 9:27am EDT","http://usfsc.grscicoll.org/institutional-collection/samuel-j-record-sjrw-collection","Samuel J. Record (SJRw) Collection",,"25090",,"SJRW","http://www.fpl.fs.fed.us/research/centers/woodanatomy/sjrw_collection.php",,,"This collection is the same size as it was when it arrived at FPL in 1969~55,000 specimens. We have not added specimens to the SJRw collection. The only changes have been to arrange the specimens alphabetically by family, genus, species, and accession number and to mark the accession number, scientific name, family name, and country of origin directly on the specimen with black indelible ink. The herbarium and slide collections have been merged with FPL holdings, but they have been clearly marked to indicate where each originated. I estimate that the herbarium contains approximately 27,000 sheets and the slide collection 60,000 slides, representing perhaps 25,000 specimens.","Biological: Plant-derived (bark, pollen, phytoliths, etc.)",,"Yes","One Gifford Pinchot Drive",,,"Madison","Wisconsin","53726-2399","USA",,,,,,,,"25075","Yes",
"25103","Yes","2 August 2016 - 3:48pm EDT","14 February 2017 - 1:30pm EST","http://usfsc.grscicoll.org/institutional-collection/center-forest-mycology-research-herbarium","Center for Forest Mycology Research Herbarium",,"8009",,"CFMRH","http://www.fpl.fs.fed.us/research/centers/mycology/herbarium.shtml",,,"Herbarium collection of approximately 50,000 specimens of dried fungal fruiting bodies.  Primarily basidiomycetes associated with forests and forest products.","Biological: Preserved organisms, their parts & products","Sample Treatment: Dried","Yes","One Gifford Pinchot Drive",,,"Madison","Wisconsin","53726","USA",,,,,,,,"21669","Yes",
"25104","Yes","2 August 2016 - 4:21pm EDT","14 February 2017 - 1:30pm EST","http://usfsc.grscicoll.org/institutional-collection/center-forest-mycology-research-culture-collection","Center for Forest Mycology Research Culture Collection",,"8009",,"CFMRC","http://www.fpl.fs.fed.us/research/centers/mycology/culture-collection.shtml",,,"Collection of approximately 16,000 living fungi, primarily Basidiomycetes associated with forests and forest products.","Biological: Living organisms","Storage Environment: Frozen (-132 - -196)","Yes","One Gifford Pinchot Drive",,,"Madison","Wisconsin","53726","USA",,,,,,,,"20862","Yes",
"25105","Yes","2 August 2016 - 4:53pm EDT","3 August 2016 - 4:31pm EDT","http://usfsc.grscicoll.org/institutional-collection/poplar-functional-genomics-germplasm","Poplar Functional Genomics Germplasm",,"25094",,"PSWGEN","http://popgenie.org/popindels",,,"Field trial of poplar trees with defined chromosomal deletions for genomics research.","Biological: Plant-derived (bark, pollen, phytoliths, etc.)","Storage Environment: Ambient uncontrolled (outdoors)","No","1731 Research Park Dr",,,"Davis","California","95618","USA",,,,,,,,"25076","Yes",
"25108","Yes","3 August 2016 - 10:27am EDT","8 August 2016 - 5:18pm EDT","http://usfsc.grscicoll.org/institutional-collection/pest-management-unit-grasshopper-virus-collection","Pest Management Unit Grasshopper Virus Collection",,"25014",,"PMUGVC",,,,"The Pest Management Unit maintains a collection of grasshopper viruses to assist in research to manage grasshoppers&rsquo; agricultural pests.","Biological: Other or Undefined",,"No","USDA/ARS, Pest Management Research Unit","Northern Plains Agricultural Research Laboratory","1500 North Central Ave.","Sidney","Montana","59270","USA",,,,,,,,"25095","No",
"25109","Yes","3 August 2016 - 1:46pm EDT","28 February 2017 - 11:35am EST","http://usfsc.grscicoll.org/institutional-collection/rocky-mountain-herbarium","Rocky Mountain Herbarium",,"7822",,"BOISH","http://www.pnwherbaria.org",,,"The herbarium housed at the Rocky Mountain Research Station Boise office is maintained as part of the Grassland, Shrubland and Desert Ecosystem Research Program.  This program is charged with developing knowledge, plant materials, and technology for successful long-term restoration of diverse shrubland plant communities to meet resource needs and values.  The herbarium contains collections from throughout the rocky mountain region with an emphasis on sedges and rushes.","Biological: Living organisms",,"Yes","322 E. Front St. Ste. 401",,,"Boise","Idaho","83702","USA",,,,,,,,"25077","Yes",
"25119","Yes","4 August 2016 - 1:33pm EDT","8 August 2016 - 5:21pm EDT","http://usfsc.grscicoll.org/institutional-collection/abadru-biting-midge-and-mosquito-collection","ABADRU Biting Midge and Mosquito Collection",,"25118",,"BMMC",,,,"Scientists at the Arthropod-Borne Animal Diseases Research Unit maintain an insect cell collection of 10 strains of biting midges and mosquitoes for use in their studies on controlling insect-caused human and animal diseases. Research projects currently focus on bluetongue virus, epizootic hemorrhagic virus, West Nile virus, and vesicular stomatitis, and provide general information that may be applied to other arthropod-borne animal pathogen-caused diseases such as African horse sickness, anaplasmosis, heartwater fever, rift valley fever and akabane.","Biological: Living organisms","Storage Environment: Other (please define)","No","USDA/ARS, Arthropod-Borne Animal Diseases Research Unit","USDA-ARS-PA-Center for Grain & Animal Health Res.","1515 College Ave.","Manhattan","Kansas","66502","USA",,,,,,,,"25117","Yes",
"25122","Yes","4 August 2016 - 3:18pm EDT","26 September 2016 - 2:06pm EDT","http://usfsc.grscicoll.org/institutional-collection/woody-landscape-plant-germplasm-repository","Woody Landscape Plant Germplasm Repository",,"25113",,"NA","http://www.usna.usda.gov/Research/wlpgr.html","http://www.usna.usda.gov/Research/WLPGR_NA_site.html",,"The overall objectives of the Woody Landscape Plant Germplasm Repository (WLPGR) are to introduce, maintain, and distribute diverse and wild-origin genetic resources of trees and shrubs for landscape use through collection, exchange, and evaluation. Woody plant germplasm is also evaluated for production potential and further characterized using biochemical and molecular DNA technologies. WLPGR is responsible for maintaining 182 genera that range from Abelia to Zelkova. More than 1,400 accessions of seeds are maintained in a mid-term storage facility, and 2,800 plants are maintained &quot;on the grounds&quot; at Beltsville and Glenn Dale Maryland, and Washington, D.C. Not all accessions are available for distribution. Accessions that are available for distribution are for research purposes only to qualified institutions. The Woody Landscape Plant Germplasm Repository is associated with the U.S. National Arboretum. It is part of the U.S. National Plant Germplasm System.","Biological: Living organisms","Storage Environment: Ambient controlled (indoors)","Yes","USDA/ARS, US National Arboretum, Floral and Nursery Plants Research Unit","10300 Baltimore Ave Bld 010A Rm 233",,"Beltsville","Md","20705","USA","South Farm","Beltsville Agriculture Research Center",,"Beltsville","Md","20705","USA","25121","Yes",
"25125","Yes","4 August 2016 - 7:10pm EDT","5 August 2016 - 10:21am EDT","http://usfsc.grscicoll.org/institutional-collection/us-rangeland-grasshopper-collection","U.S. Rangeland Grasshopper Collection",,"25014",,"USRGC","http://www.sidney.ars.usda.gov/Site_Publisher_Site/personnelpages/dbranson/hopperresearch/rangelandgh.html",,,"The U.S. Rangeland Grasshopper Collection contains short-horned grasshopper species from different habitats of the western United States, with 9,000 specimens of 270 species. It is a major resource for the genus Melanoplus from western North America; of 300 species worldwide, 72 are represented in the collection. The 2,900 reprints in the collection&#39;s library are worldwide in scope and are primarily on Acridids. Much of the information is now historical.","Biological: Preserved organisms, their parts & products","Sample Treatment: Pinned","Yes","USDA/ARS, Pest Management Research Unit","Northern Plains Agricultural Research Laboratory","1500 North Central Ave.","Sidney","Montana","59270","USA",,,,,,,,"25124","Yes",
"25128","Yes","5 August 2016 - 8:45am EDT","29 August 2016 - 4:21pm EDT","http://usfsc.grscicoll.org/institutional-collection/national-collection-genetic-resources-pecans-and-hickories","National Collection of Genetic Resources for Pecans and Hickories",,"25113",,"BRW","http://www.ars.usda.gov/Research/docs.htm?docid=13080","http://cgru.usda.gov/carya/pecans/cvintro.htm",,"The pecan germplasm collection was begun in the 1930&#39;s by Louis Romberg, a former Agricultural Research Service (ARS) pecan breeder, in order to furnish parents for use in the Pecan Breeding Program. The collection of pecan cultivars was maintained as grafted trees (or as limbs in trees) in orchards at Brownwood, Texas. The collection was designated as the National Clonal Germplasm Repository for Pecans and Hickories in 1984, and a Crop Germplasm Committee (CGC) was formed. Additional collections were recommended by the CGC to represent native pecan populations throughout the range (the Provenance Collection), and to represent other Carya species (the Hickory Species Collection).  	  	There are currently over 300 pecan cultivars being maintained in the Cultivar Collection, with many more being present as nut specimens only. These cultivars represent all pecan growing regions of the United States. This is the largest and most rigorous collection of pecan cultivars in the world. Accessions are maintained as grafted trees, targeting two trees of each cultivar at the Brownwood site, with duplicate collections at the College Station site. Accessions are provided upon request to researchers, and are provided to private growers when commercial nurserymen can not provide wood of a cultivar. Accessions are distributed as graftwood (typically 5 double graft sticks per accession) in January and February. In addition, seed is occasionally distributed from particular accessions for establishment of seedling rootstocks for subsequent grafting. Nut voucher specimens are maintained for each tree to verify identification. In addition nut samples of many cultivars are represented by collections from other orchards. Complete historical passport information on pecan cultivars (Thompson and Young, 1985) and hickory cultivars (Grauke, 1988) has been published. Verified inventories of most pecan cultivars have been characterized with isozyme analysis (Marquard et al., 1994) to provide a method of biochemical verification. The commercial pecan nursery industry needs improved methods of cultivar identification and verification. It is imperative that future biochemical characterizations of cultivars be based on verified accessions. Errors of characterization in the literature, based on incorrectly identified samples from other sources, have been corrected when compared to analyses of verified accessions from this collection. This collection is part of the U.S. National Plant Germplasm System.","Biological: Living organisms","Storage Environment: Ambient uncontrolled (outdoors)","Yes","USDA/ARS, Crop Germplasm Research Unit","10200 FM 50",,"Somerville","Texas","77879","USA",,,,,,,,"25127","Yes",
"25130","Yes","5 August 2016 - 8:59am EDT","12 September 2016 - 4:40pm EDT","http://usfsc.grscicoll.org/institutional-collection/national-clonal-germplasm-repository-citrus-and-dates","National Clonal Germplasm Repository for Citrus and Dates",,"25113",,"RIV","http://www.ars.usda.gov/main/site_main.htm?modecode=20-36-10-00","https://npgsweb.ars-grin.gov/gringlobal/search.aspx",,"This collection contains germplasm of citrus, dates, and related Aurantioideae genera and Phoenix species. We distribute pathogen-free germplasm to qualified researchers throughout the world. This collection is part of the U.S. National Plant Germplasm System.","Biological: Living organisms",,"Yes","USDA/ARS, National Clonal Germplasm Repository for Citrus and Dates","1060 Martin Luther King Blvd",,"Riverside","California","92507-5437","USA",,,,,,,,"25129","Yes",
"25132","Yes","5 August 2016 - 9:08am EDT","26 September 2016 - 2:11pm EDT","http://usfsc.grscicoll.org/institutional-collection/national-arid-land-plant-genetic-resources-collection","National Arid Land Plant Genetic Resources Collection",,"25113",,"PARL","http://www.ars.usda.gov/Main/docs.htm?docid=6639","https://npgsweb.ars-grin.gov/gringlobal/search.aspx",,"The mission of the National Arid Land Plant Genetic Resource Unit (NALPGRU) program is to acquire, document, maintain, evaluate and distribute selected plant genetic resources adapted to long, warm-season and arid conditions, generate and manage associated information, provide a scientific base for its use in research and crop improvement and collaborate with other scientists in research programs incorporating the scientific information in agricultural production.  	  	Established in 1996, the station serves as an alternative regeneration site for long frost-free growing season. It is a priority site for genera of arid land plant species, which are emerging as new industrial crops (Lesquerella, Limnanthes, Opuntia, Parthenium and Simmondsia) or have the potential to be developed into cash crops on poor soils with limited water supply (Hesperaloe), or present a value to arid land soil preservation (Atriplex, Bassia and Yucca). Currently, the holdings of the site include over 1,200 accessions, belonging to 126 different species, from 13 different genera. Among the most important climate specific germplasm preserved at Parlier for other NPGS sites are accessions of non-winter hardy barley (Hordeum sp.) and wheat (Triticum sp.), wild sunflowers (Helianthus sp.), safflowers (Carthamus tinctorius) and a core back up collection of hazelnuts (Corylus sp.). This collection is part of the U.S. National Plant Germplasm System.  Further information:    	  		Location Office   	  		Mission Statements   	  		Medicago truncatula Germplasm Collection   	  		Phaseolus Germplasm Collection   	  		Pisum Genetic Stock Collection   	  		Safflower Genetic Resources","Biological: Living organisms",,"Yes","USDA/ARS, National Arid Land Plant Genetic Resources Unit","Resources Unit, 9611 S. Riverbend",,"Parlier","California","93648","USA",,,,,,,,"25131","Yes",
"25134","Yes","5 August 2016 - 9:16am EDT","26 September 2016 - 2:10pm EDT","http://usfsc.grscicoll.org/institutional-collection/maize-genetic-stocks","Maize Genetic Stocks",,"25113",,"GSZE","http://maizecoop.cropsci.uiuc.edu/","http://www.maizegdb.org/stock_catalog",,"We provide a service to corn scientists by maintaining and freely distributing seeds of mutant corn stocks (as in a store or supply accumulated, ready for use; rather than as in financial securities). This collection is part of the U.S. National Plant Germplasm System. Additional contact email: marty.sachs@ars.usda.gov. Additional contact phone number:  (217) 244-0864 (For Marty Sachs).      	See also https://npgsweb.ars-grin.gov/gringlobal/search.aspx for the comprehensive GRIN online catalog.","Biological: Living organisms",,"Yes","Maize Genetics Cooperation Stock Center","USDA-ARS & University of Illinois, Department of Crop Sciences","S-123 Turner Hall, 1102 S. Goodwin Avenue","Urbana","Illinois","61801-4730","USA",,,,,,,,"2812","Yes",
"25136","Yes","5 August 2016 - 9:25am EDT","22 August 2016 - 3:36pm EDT","http://usfsc.grscicoll.org/institutional-collection/genetic-stocks-oryza-collection","Genetic Stocks Oryza Collection",,"25113",,"GSOR","http://www.ars.usda.gov/Main/docs.htm?docid=23562","http://www.ars.usda.gov/Main/Docs.htm?docid=23687",,"The USDA Genetic Stocks &ndash; Oryza (GSOR) Collection at Dale Bumpers National Rice Research Center (DBNRRC) serves as distribution center for genetic mutants and molecularly characterized genetic resources that are important to the rice research community. These genetic stocks have been created using specialized techniques such as induced mutation and cross-breeding. The GSOR program is responsible for storing, maintaining, documenting, and distributing (free of charge) these materials to the scientific community for use in genetic and genomic research. Ultimately these materials will aid in the understanding of the genetic control of traits that can be used to enhance the development of new cultivars that meet the needs of the U.S. rice industry. This collection is part of the U.S. National Plant Germplasm System.","Biological: Living organisms",,"Yes","USDA/ARS, Dale Bumpers National Rice Research Center","2890 Hwy 130 East",,"Stuttgart","Arkansas","72160","USA",,,,,,,,"25135","Yes",
"25138","Yes","5 August 2016 - 9:32am EDT","29 August 2016 - 4:25pm EDT","http://usfsc.grscicoll.org/institutional-collection/national-clonal-germplasm-repository-miami-florida","National Clonal Germplasm Repository (Miami, Florida)",,"25113",,"MIA","http://www.ars.usda.gov/Main/docs.htm?docid=10134","https://npgsweb.ars-grin.gov/gringlobal/search.aspx",,"The National Germplasm Repository shares responsibility with the Mayaguez, Puerto Rico, site for maintaining the U.S. clonal collections of mango, avocado, banana and plantain, tropical citrus, annonas, sugarcane and related grasses, palms, Tripsacum, and a few other relatively minor tropical crops. The collection maintains approximately 6,000 accessions, with the majority (3,500) being of fruit and grass, and the remaining 2,500 consisting of ornamental, chemurgic, and spice introductions from tropical and subtropical areas of the world. These plants are part of a unique collection, and requests for material come from many scientific disciplines. This repository meets the needs of U.S. agriculture by the collection, evaluation, and development of improved commercial plants; the development of methods for the management of exotic insect pests; and the development of technologies to promote a sustainable agro-hydrology system. This collection is part of the US National Plant Germplasm System.","Biological: Living organisms",,"Yes","USDA/ARS, Subtropical Horticultural Research Station","USDA/ARS, Subtropical Horticultural Research Station","13601 Old Cutler Road","Miami","Florida","33158","USA",,,,,,,,"25137","Yes",
"25142","Yes","5 August 2016 - 12:19pm EDT","25 May 2017 - 4:16pm EDT","http://usfsc.grscicoll.org/institutional-collection/entomopathogenic-nematode-collection","Entomopathogenic Nematode Collection",,"25140",,"USDAENC",,,,"ARS scientists maintain a nematode collection at the Southeastern Fruit and Tree Nut Research Laboratory. This collection contains approximately 50 living strains of insect-pathogenic nematodes, which are used as biocontrol agents of insect pests. The collection is used primarily for in-house research, but is also available to outside scientists.","Biological: Living organisms","Storage Environment: Ambient controlled (indoors)","No","USDA/ARS, Southeastern Fruit and Tree Nut Research Laboratory",,"21 Dunbar Rd.","Byron","Georgia","31008","USA",,,,,,,,"25141","Yes",
"25145","Yes","5 August 2016 - 2:23pm EDT","22 August 2016 - 12:36pm EDT","http://usfsc.grscicoll.org/institutional-collection/biosciences-research-collection-lepidoptera-and-coleoptera","Biosciences Research Collection of Lepidoptera and Coleoptera",,"25144",,"BRCLC",,,,"Researchers at the Insect Genetics and Biochemistry Research Unit maintain a collection of 20 strains of moth and beetle cell lines for use in studying insect viruses. Research focuses on the use of these cell lines to develop insect viruses as biocontrol agents as well as for use as expression vectors for producing proteins and, potentially, vaccines.","Biological: Living cell or tissue cultures",,"No","USDA/ARS Insect Genetics and Biochemistry Research Unit","Red River Valley Agricultural Research Center","1605 Albrecht Blvd North","Fargo","North Dakota","58102-2765","USA",,,,,,,,"25143","Yes",
"25147","Yes","5 August 2016 - 3:28pm EDT","12 September 2016 - 4:37pm EDT","http://usfsc.grscicoll.org/institutional-collection/national-clonal-germplasm-repository-mayaguez-puerto-rico","National Clonal Germplasm Repository (Mayaguez, Puerto Rico)",,"25113",,"MAY","https://www.ars.usda.gov/southeast-area/mayaguez-pr/tropical-crops-and-germplasm-research/docs/introduction-increase-maintenance-evaluation-and-distribution-of-cacao-germplasm/","https://npgsweb.ars-grin.gov/gringlobal/search.aspx",,"The Tropical Agriculture Research Station at Mayaguez, Puerto Rico, maintains one of the most genetically diverse, characterized and well documented cacao germplasm collections in the world. The original cacao germplasm project was established in 2001 and then merged with the Tropical Germplasm project in 2004. Current collection consists of close 200 clonal accessions, grafted onto a common Amelonado rootstock, which is maintained in a completely randomized block design with six replicate trees per accession. In addition, a unique Criollo genetic background planting with 20 accession with six replicate trees has also been recently established. In 2001 and again in 2010 the collection&rsquo;s genetic diversity and integrity were assessed with microsatellite markers and to identify gaps in coverage as well as redundant germplasm. Data on phenotypic traits (pod shape, color), productivity (e.g., number of health pods, pod index), compatibility and disease resistance have been collected for most of the accession over a 5-year period. Extensive high resolution and quality digital voucher images for pods, seed and flowers are available for most accessions. All passport, characterization and evaluation data associated with individual accessions can be accessed from the publicly available GRIN-Global database.","Biological: Living organisms","Storage Environment: Ambient uncontrolled (outdoors)","Yes","USDA/ARS, Tropical Crops and Germplasm Research","Tropical Agricultural Research Station","2200 Pedro Albizu Campos Ave. Ste. 201","Mayaguez","Puerto Rico",,"USA",,,,,,,,"25146","Yes",
"25149","Yes","5 August 2016 - 3:36pm EDT","29 August 2016 - 4:26pm EDT","http://usfsc.grscicoll.org/institutional-collection/national-clonal-germplasm-repository-hilo-hawaii","National Clonal Germplasm Repository (Hilo, Hawaii)",,"25113",,"HILO","http://www.ars-grin.gov/npgs/sitelist.html","https://npgsweb.ars-grin.gov/gringlobal/search.aspx",,"The Hilo National Clonal Germplasm Repository maintains and evaluates accessions of breadfruit, carambola, guava, litchi, longan, papaya, peach-palm, pili-nut, pineapple, and rambutan, important clonal crops designated as tropical fruits, nuts, beverages, and ornamentals. In 1986, the National Clonal Germplasm Repository for Tropical Fruit and Nut Crops was initiated as a joint cooperative project between the Agricultural Research Station (ARS), the National Plant Germplasm System (NPGS), and the University of Hawaii at Manoa, and became part of NPGS in 1989. The current collection includes approximately 1,000 accessions maintained as living plants in 33 acres of field plantings at three locations. Selected germplasm are grown in tissue culture and in greenhouses. This collection is part of the U.S. National Plant Germplasm System.","Biological: Living organisms","Storage Environment: Ambient controlled (indoors)","Yes","USDA/ARS, US Pacific Basin Agricultural Research Center","64 Nowelo Street",,"Hilo","Hawaii","96720","USA",,,,,,,,"25148","Yes",
